,centroidX,centroidY,angleBetweenLegs,lengthOfLeftLeg,lengthOfRightLeg,class
318,115.0,362.0,-56.71126928009737,108.5034561661517,118.6001686339442,walking
319,120.0,362.0,-68.11871488315893,116.29703349613007,124.84390253432484,walking
320,170.0,365.0,0.0,106.28264204469139,106.28264204469139,walking
321,177.0,365.0,0.0,105.94810050208544,105.94810050208544,walking
322,172.0,365.0,0.0,104.40306508910547,104.40306508910547,walking
323,195.0,364.0,0.0,103.58088626768935,103.58088626768935,walking
324,180.0,365.0,0.0,101.11874208078342,101.11874208078342,walking
325,191.0,365.0,0.0,102.18121158021177,102.18121158021177,walking
326,196.0,362.0,0.0,102.00490184299969,102.00490184299969,walking
327,203.0,362.0,-7.821617933243002,103.12128781197411,102.39628899525607,walking
328,206.0,362.0,0.0,103.23759005323592,103.23759005323592,walking
329,215.0,356.0,0.0,101.2719112093773,101.2719112093773,walking
330,236.0,362.0,0.0,103.75451797391763,103.75451797391763,walking
331,242.0,362.0,0.0,105.11898020814318,105.11898020814318,walking
332,274.0,362.0,0.0,106.7379969832674,106.7379969832674,walking
333,257.0,362.0,-60.417485181089674,111.61541112229976,129.01550294441358,walking
334,305.0,362.0,0.0,108.5034561661517,108.5034561661517,walking
335,304.0,365.0,0.0,104.40306508910547,104.40306508910547,walking
336,317.0,362.0,0.0,107.0046727951635,107.0046727951635,walking
337,324.0,362.0,0.0,106.23088063270491,106.23088063270491,walking
338,321.0,363.0,0.0,105.01904589168576,105.01904589168576,walking
339,331.0,362.0,0.0,104.92378186092989,104.92378186092989,walking
340,331.0,362.0,0.0,103.81714694596455,103.81714694596455,walking
341,325.0,362.0,0.0,104.23531071570707,104.23531071570707,walking
342,341.0,362.0,0.0,103.48429832588128,103.48429832588128,walking
343,330.0,362.0,0.0,103.00485425454471,103.00485425454471,walking
344,342.0,362.0,0.0,102.2399139279763,102.2399139279763,walking
345,339.0,362.0,-8.925847198977443,103.31021246711283,102.3132444994293,walking
346,352.0,361.0,-4.478860279727596,103.01941564578979,102.1763181955584,walking
347,380.0,360.0,-39.330853102312695,108.66922287382016,106.51291001564081,walking
348,406.0,362.0,-61.23570100852796,117.72000679578639,112.36102527122115,walking
349,405.0,362.0,-63.942341042538736,113.63538181394033,120.8801058900926,walking
350,409.0,362.0,-62.206572588041446,114.49017425089369,116.2497311824849,walking
351,461.0,365.0,0.0,104.9952379872535,104.9952379872535,walking
352,471.0,365.0,0.0,104.40306508910547,104.40306508910547,walking
353,477.0,362.0,0.0,105.26157893552612,105.26157893552612,walking
354,477.0,362.0,0.0,104.56098698845568,104.56098698845568,walking
355,483.0,362.0,0.0,103.94229168149025,103.94229168149025,walking
356,489.0,362.0,0.0,103.9471019317037,103.9471019317037,walking
357,492.0,360.0,0.0,105.6834897228512,105.6834897228512,walking
358,495.0,360.0,0.0,105.80170130957251,105.80170130957251,walking
359,502.0,355.0,0.0,102.2399139279763,102.2399139279763,walking
360,511.0,357.0,-14.938126521469426,108.46197490364999,101.43470806385753,walking
361,533.0,362.0,0.0,104.73776778220929,104.73776778220929,walking
362,546.0,368.0,0.0,106.21205204683694,106.21205204683694,walking
363,578.0,367.0,0.0,108.66922287382016,108.66922287382016,walking
364,595.0,367.0,0.0,108.66922287382016,108.66922287382016,walking
365,599.0,368.0,0.0,108.66922287382016,108.66922287382016,walking
366,611.0,368.0,0.0,109.20164833920778,109.20164833920778,walking
367,600.0,370.0,0.0,104.73776778220929,104.73776778220929,walking
368,617.0,370.0,0.0,105.32331175955302,105.32331175955302,walking
369,631.0,370.0,0.0,105.5367234662892,105.5367234662892,walking
370,635.0,370.0,0.0,105.11898020814318,105.11898020814318,walking
371,633.0,370.0,0.0,103.9471019317037,103.9471019317037,walking
372,649.0,367.0,0.0,105.92922165295089,105.92922165295089,walking
373,637.0,376.0,0.0,105.0761628534274,105.0761628534274,walking
374,650.0,373.0,-5.855256775893386,108.16653826391968,107.1167587261676,walking
375,657.0,373.0,0.0,107.16809226630845,107.16809226630845,walking
376,662.0,373.0,-3.8394543983169127,108.07404868885037,100.04498987955368,walking
377,688.0,373.0,-36.02914955782029,111.8257573191436,106.04244433244644,walking
378,689.0,373.0,-48.224260662599626,114.8259552540278,113.64858116140296,walking
379,698.0,373.0,-59.44886563461921,118.10588469674153,111.50336317797773,walking
380,709.0,373.0,-58.087674659599756,116.46887996370532,112.0714058089752,walking
381,721.0,373.0,-64.25429248272562,121.19818480488888,115.6027681329474,walking
382,724.0,376.0,-62.247755386833674,118.07201192492657,118.46096403457132,walking
383,767.0,378.0,0.0,104.92378186092989,104.92378186092989,walking
384,775.0,379.0,0.0,103.75451797391763,103.75451797391763,walking
385,775.0,378.0,0.0,103.24727599312243,103.24727599312243,walking
386,781.0,375.0,0.0,105.17128885774862,105.17128885774862,walking
387,785.0,378.0,0.0,103.81714694596455,103.81714694596455,walking
388,794.0,378.0,0.0,103.0436800585072,103.0436800585072,walking
389,791.0,378.0,0.0,102.2399139279763,102.2399139279763,walking
390,798.0,375.0,0.0,105.0047617967871,105.0047617967871,walking
391,793.0,404.0,0.0,76.00657866263946,76.00657866263946,walking
